錯誤檔案名稱, 錯誤類別, 錯誤訊息
accuracy_loss.png,unzip,unknown archive format for file `D:/python/Ncku_RLLab_hw_manager/download/OpenCvDl_2022_Bs/A組\E94084066\hw1\Hw1_05_E94084066_曹豈銘_V1\Hw1_05_E94084066_曹豈銘_V1\accuracy_loss.png' (mime-type is `image/png')
image_processing_hw1_05.ipynb,unzip,unknown archive format for file `D:/python/Ncku_RLLab_hw_manager/download/OpenCvDl_2022_Bs/A組\E94084066\hw1\Hw1_05_E94084066_曹豈銘_V1\Hw1_05_E94084066_曹豈銘_V1\image_processing_hw1_05.ipynb'
image_processing_hw1_05.py,unzip,unknown archive format for file `D:/python/Ncku_RLLab_hw_manager/download/OpenCvDl_2022_Bs/A組\E94084066\hw1\Hw1_05_E94084066_曹豈銘_V1\Hw1_05_E94084066_曹豈銘_V1\image_processing_hw1_05.py' (mime-type is `text/x-python')
vgg_model.h5,unzip,unknown archive format for file `D:/python/Ncku_RLLab_hw_manager/download/OpenCvDl_2022_Bs/A組\E94084066\hw1\Hw1_05_E94084066_曹豈銘_V1\Hw1_05_E94084066_曹豈銘_V1\vgg_model.h5' (mime-type is `application/x-hdf5')
image_processing.ipynb,unzip,unknown archive format for file `D:/python/Ncku_RLLab_hw_manager/download/OpenCvDl_2022_Bs/A組\E94084066\hw1\Hw1_1_E94084066_曹豈銘_V1\Hw1_1_E94084066_曹豈銘_V1\image_processing.ipynb'
image_processing.py,unzip,unknown archive format for file `D:/python/Ncku_RLLab_hw_manager/download/OpenCvDl_2022_Bs/A組\E94084066\hw1\Hw1_1_E94084066_曹豈銘_V1\Hw1_1_E94084066_曹豈銘_V1\image_processing.py' (mime-type is `text/x-python')
image_processing_hw1_2.ipynb,unzip,unknown archive format for file `D:/python/Ncku_RLLab_hw_manager/download/OpenCvDl_2022_Bs/A組\E94084066\hw1\Hw1_2_E94084066_曹豈銘_V1\Hw1_2_E94084066_曹豈銘_V1\image_processing_hw1_2.ipynb'
image_processing_hw1_2.py,unzip,unknown archive format for file `D:/python/Ncku_RLLab_hw_manager/download/OpenCvDl_2022_Bs/A組\E94084066\hw1\Hw1_2_E94084066_曹豈銘_V1\Hw1_2_E94084066_曹豈銘_V1\image_processing_hw1_2.py' (mime-type is `text/x-python')
